GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4476000","2916","314","481","634","19","50","13","15","1532","665","234"
"4477000","11707","2887","2769","1590","149","65","85","86","6531","1099","1305"
"4478000","11969","2232","2561","2015","159","112","89","88","6466","1640","1391"
"4479000","13719","2682","3105","2415","197","135","85","80","8547","2684","1501"
"4480000","16793","3628","4445","2186","260","83","146","132","11712","3054","1589"
"4481000","15270","2902","3663","2031","249","78","128","119","10461","3275","1702"
"4482000","10872","2987","2604","1126","134","35","75","75","7729","1803","1869"
"4483000","8387","2468","1887","1191","91","36","76","68","5987","2075","1560"
"4484000","4318","675","839","884","36","25","40","34","2873","1076","637"
"4485000","1079","287","277","92","28","2","10","9","738","229","183"
"4461000","1","0","0","0","0","0","0","0","1","1","0"
"4462000","39","1","4","8","0","2","0","0","14","5","0"
"4463000","24","2","4","8","0","0","1","1","5","3","5"
"4464000","10","0","2","0","1","0","0","0","4","2","0"
"4465000","2","0","0","1","0","0","0","0","1","0","0"
"4467000","9","2","0","3","0","0","1","1","4","2","3"
"4468000","0","0","0","0","0","0","0","0","0","0","0"
"4469000","1","0","0","1","0","0","0","0","0","0","0"
"4470000","0","0","0","0","0","0","0","0","0","0","0"
"4471000","3","0","0","1","0","0","0","0","2","2","0"
"4472000","367","20","83","48","9","1","6","6","180","99","5"
"4474000","1624","106","321","291","18","10","8","8","708","309","38"
"4475000","3575","345","697","733","35","55","20","17","1311","474","334"
"4476000","3619","311","755","555","39","21","19","22","2315","1066","218"
"4477000","7751","1697","1795","896","105","45","46","50","4406","1149","778"
"4478000","7828","1796","1891","937","119","49","49","46","4902","1196","747"
"4479000","7452","1049","1483","1589","83","95","45","43","5159","2363","564"
"4480000","21395","5443","5805","2301","413","133","195","188","13628","2070","2566"
"4481000","20508","5816","6144","1385","374","170","191","183","13649","1116","3600"
"4482000","13443","3641","3437","1269","224","81","103","113","9355","1920","2059"
"4483000","9934","2724","1877","1546","123","83","65","57","7114","2185","1434"
"4484000","1458","257","287","283","12","6","2","2","978","495","227"
"4485000","1459","509","424","39","43","2","11","9","1093","358","242"
"4462000","36","5","5","5","0","1","0","0","14","4","2"
"4463000","27","2","5","4","0","0","2","1","7","6","1"
"4464000","9","0","0","7","0","0","0","0","0","0","0"
"4468000","2","0","0","2","0","0","0","0","0","0","0"
"4470000","32","2","7","5","0","1","0","0","12","5","0"
"4471000","27","4","5","2","1","0","0","0","4","1","7"
"4472000","1261","53","239","319","24","3","4","3","672","475","25"
"4473000","457","31","91","85","3","3","1","1","132","56","21"
"4474000","2189","195","425","375","25","20","10","8","676","278","120"
"4475000","3760","367","725","699","33","60","26","22","1303","340","268"
"4476000","4432","493","923","588","39","10","31","26","2211","835","375"
"4477000","5716","830","1217","751","71","30","28","29","3544","1269","449"
"4478000","8387","1540","1783","1013","121","54","56","54","4456","893","1047"
"4479000","10228","2972","2809","888","183","45","77","71","5397","375","1777"
"4480000","16948","6406","4910","938","291","63","153","162","10466","500","3184"
"4481000","22693","7635","6482","1389","403","84","192","183","14266","794","4241"
"4482000","3418","843","714","492","49","24","14","18","2249","377","560"
"4483000","21210","3849","4812","2620","267","84","160","148","15469","4345","2355"
"4484000","1966","346","589","247","42","6","26","23","1519","942","132"
"4485000","21","2","9","0","0","0","0","0","16","4","0"
"4468000","153","8","18","53","0","2","1","1","47","50","7"
"4469000","2523","309","456","633","36","22","24","21","566","64","189"
"4470000","124","11","23","30","1","0","2","2","61","31","6"
"4471000","2064","89","348","476","22","9","16","15","1091","678","31"
